Weryfikacja	Potencjalna Szansa	Kontakt Handlowy	Godzina
Brak Konta Umowy	Potencjalna Wystawiona	WystawionoKH	08:14
Konto Umowy	Soft 	WystawionoKH	08:27
Konto Umowy	Potencjalna Wystawiona	WystawionoKH	08:37
Konto Umowy	Potencjalna Wystawiona	WystawionoKH	08:46
Osoba Trzecia	Potencjalna Wystawiona	WystawionoKH	08:49
Konto Umowy	Soft 	WystawionoKH	09:01
Osoba Trzecia	Potencjalna Wystawiona	WystawionoKH	09:03
Konto Umowy	Potencjalna Wystawiona	WystawionoKH	09:06
Konto Umowy	Potencjalna Wystawiona	WystawionoKH	09:20
Konto Umowy	Potencjalna Wystawiona	WystawionoKH	09:25
Konto Umowy	Potencjalna Wystawiona	WystawionoKH	09:32
Konto Umowy	Potencjalna Wystawiona	WystawionoKH	09:40
Osoba Trzecia	Potencjalna Wystawiona	WystawionoKH	10:19
Konto Umowy	Potencjalna Wystawiona Wczeœniej	WystawionoKH	10:40
Konto Umowy	Potencjalna Wystawiona	WystawionoKH	10:47
Konto Umowy	Potencjalna Wystawiona	WystawionoKH	10:51
Konto Umowy	Potencjalna Wystawiona	WystawionoKH	10:57
Brak Konta Umowy	Potencjalna Wystawiona	WystawionoKH	11:06
Konto Umowy	Potencjalna Wystawiona	WystawionoKH	11:08
Konto Umowy	Potencjalna Wystawiona	WystawionoKH	11:14
Brak Konta Umowy	Potencjalna Wystawiona	WystawionoKH	11:15
Konto Umowy	Potencjalna Wystawiona	WystawionoKH	11:27
Konto Umowy	Potencjalna Wystawiona	WystawionoKH	11:43
Konto Umowy	Potencjalna Wystawiona	WystawionoKH	11:46
Konto Umowy	Potencjalna Wystawiona	WystawionoKH	12:03
Konto Umowy	Potencjalna Wystawiona	WystawionoKH	12:08
Konto Umowy	Potencjalna Wystawiona	WystawionoKH	12:27
Brak Konta Umowy	Potencjalna Wystawiona	WystawionoKH	12:35
Konto Umowy	Potencjalna Wystawiona	WystawionoKH	12:41
Osoba Trzecia	Potencjalna Wystawiona	WystawionoKH	12:45
Konto Umowy	Potencjalna Wystawiona	WystawionoKH	12:50
Konto Umowy	Potencjalna Wystawiona	WystawionoKH	12:53
	Potencjalna Wystawiona	KH Wystawiony Wczeœniej	12:58
Osoba Trzecia	Potencjalna Wystawiona Wczeœniej	KH Wystawiony Wczeœniej	13:03
Brak Konta Umowy	Potencjalna Wystawiona	WystawionoKH	13:06
Konto Umowy	Potencjalna Wystawiona	WystawionoKH	13:13
Konto Umowy	Potencjalna Wystawiona	WystawionoKH	13:17
Brak Konta Umowy	Potencjalna Wystawiona	WystawionoKH	13:21
Konto Umowy	Potencjalna Wystawiona	WystawionoKH	13:29
Konto Umowy	Potencjalna Wystawiona	WystawionoKH	13:33
Konto Umowy	Potencjalna Wystawiona	WystawionoKH	13:35
Konto Umowy	Potencjalna Wystawiona	WystawionoKH	13:40
Osoba Trzecia	Potencjalna Wystawiona	WystawionoKH	13:43
Konto Umowy	Potencjalna Wystawiona	WystawionoKH	13:52
Brak Konta Umowy	Potencjalna Wystawiona	WystawionoKH	13:57
Brak Konta Umowy	Potencjalna Wystawiona	WystawionoKH	13:59
